module,name,kind,internal_count,src_count,dev_count,test_count,comment
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
glimra,TokensResult,type,4,0,0,0,internal_only
glimra,NoLangs,type,3,0,0,0,pub_signature
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
glimra,HasLangs,type,6,0,0,0,internal_only
glimra,NoTheme,type,4,0,0,0,pub_signature
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
glimra,HasTheme,type,8,0,0,0,internal_only
glimra,new_highlighter,fn,5,0,16,17,
glimra,with_language,fn,3,0,14,15,
glimra,with_languages,fn,0,0,3,3,
glimra,with_all_languages,fn,0,0,4,3,
glimra,with_bundled_theme,fn,3,0,12,13,
glimra,with_bundled_themes,fn,0,0,3,3,
glimra,with_all_bundled_themes,fn,0,0,4,3,
glimra,with_custom_theme,fn,0,0,4,4,
glimra,with_lang_alias,fn,1,0,3,3,
glimra,build,fn,3,1,17,18,
glimra,ExplanationMode,type,4,6,0,0,
glimra,TokensOptions,type,18,0,0,0,pub_signature
glimra,tokens_options,fn,2,0,4,4,
glimra,tokens_options_bundled,fn,2,0,5,6,
glimra,tokens_with_explanation,fn,0,0,6,6,
glimra,tokens_with_color_replacements,fn,0,0,3,3,
glimra,tokens_with_max_line_length,fn,0,0,3,3,
glimra,tokens_with_time_limit,fn,0,0,3,3,
glimra,HtmlStructure,type,2,0,0,0,pub_signature
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
glimra,MergeWhitespaces,type,2,0,0,0,internal_only
glimra,TabIndex,type,2,0,0,0,pub_signature
glimra,HtmlOptions,type,33,0,0,0,pub_signature
glimra,html_options,fn,1,0,0,0,internal_only
glimra,html_options_bundled,fn,0,0,0,0,unused
glimra,html_with_structure,fn,0,0,0,0,unused
glimra,html_with_merge_whitespaces,fn,0,0,0,0,unused
glimra,html_with_merge_same_style_tokens,fn,0,0,0,0,unused
glimra,html_with_tabindex,fn,0,0,0,0,unused
glimra,html_with_root_style,fn,0,0,0,0,unused
glimra,html_with_data,fn,0,0,0,0,unused
glimra,html_with_meta,fn,0,0,0,0,unused
glimra,html_with_explanation,fn,0,0,0,0,unused
glimra,html_with_color_replacements,fn,0,0,0,0,unused
glimra,html_with_max_line_length,fn,0,0,0,0,unused
glimra,html_with_time_limit,fn,0,0,0,0,unused
glimra,code_to_tokens,fn,2,0,6,7,
glimra,code_to_html,fn,2,0,0,0,internal_only
glimra,has_language,fn,0,0,10,10,
glimra,has_theme,fn,1,1,10,10,
glimra,get_loaded_language_names,fn,0,0,0,0,unused
glimra,get_loaded_theme_names,fn,0,0,0,0,unused
glimra,loaded_language_count,fn,0,0,0,0,unused
glimra,loaded_theme_count,fn,0,0,0,0,unused
glimra/types/token,FontStyle,type,1,0,0,1,
glimra/types/token,RawThemeSetting,type,2,11,0,0,
glimra/types/token,ThemedTokenScopeExplanation,type,2,6,0,0,
glimra/types/token,ThemedTokenExplanation,type,2,6,0,0,
glimra/types/token,ThemedToken,type,3,20,0,17,
glimra/types/token,simple_token,fn,0,2,0,0,
glimra/highlight/highlighter,HighlightOptions,type,3,2,0,5,
glimra/highlight/highlighter,ExplanationMode,type,5,5,0,0,
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
glimra/highlight/highlighter,HighlightResult,type,4,0,0,0,internal_only
glimra/highlight/highlighter,highlight,fn,1,3,0,6,
glimra/highlight/registry,Registry,type,20,12,0,0,
glimra/highlight/registry,new,fn,5,90,0,11,
glimra/highlight/registry,add_grammar_json,fn,0,1,0,1,
glimra/highlight/registry,add_theme_json,fn,0,2,0,1,
glimra/highlight/registry,get_grammar,fn,0,1,0,0,
glimra/highlight/registry,get_theme,fn,0,1,0,0,
glimra/highlight/registry,resolve_alias,fn,0,1,0,0,
glimra/highlight/registry,has_theme,fn,0,2,10,10,
glimra/textmate/state_stack,ScopeStack,type,9,16,0,0,
glimra/textmate/state_stack,scope_stack_root,fn,0,0,0,3,
glimra/textmate/state_stack,scope_stack_push,fn,2,0,0,3,
glimra/textmate/state_stack,scope_stack_depth,fn,0,0,0,3,
glimra/textmate/state_stack,AttributedScopeStack,type,17,7,0,0,
glimra/textmate/state_stack,attributed_push_scope,fn,0,6,0,0,
glimra/textmate/state_stack,attributed_get_scope_names,fn,4,7,0,0,
glimra/textmate/state_stack,attributed_get_token_attributes,fn,0,2,0,0,
glimra/textmate/state_stack,StateStack,type,25,44,0,0,
glimra/textmate/state_stack,initial,fn,3,8,0,0,
glimra/textmate/state_stack,create_root_state,fn,0,2,0,0,
glimra/textmate/state_stack,push,fn,2,12,0,6,
glimra/textmate/state_stack,pop,fn,1,17,0,3,
glimra/textmate/state_stack,safe_pop,fn,0,2,0,0,
glimra/textmate/state_stack,depth,fn,2,17,0,10,
glimra/textmate/state_stack,get_rule_id,fn,0,7,0,0,
glimra/textmate/state_stack,get_enter_pos,fn,0,2,0,0,
glimra/textmate/state_stack,reset_enter_positions,fn,1,1,0,0,
glimra/textmate/state_stack,get_anchor_pos,fn,0,2,0,0,
glimra/textmate/state_stack,get_end_rule,fn,0,3,0,0,
glimra/textmate/state_stack,get_begin_rule_captured_eol,fn,0,3,0,0,
glimra/textmate/state_stack,get_name_scopes,fn,0,4,0,0,
glimra/textmate/state_stack,get_content_name_scopes,fn,0,4,0,0,
glimra/textmate/state_stack,has_same_rule_as,fn,0,3,0,0,
glimra/textmate/state_stack,set_content_name_scopes,fn,0,3,0,0,
glimra/textmate/state_stack,get_scope_names,fn,0,2,0,0,
glimra/textmate/raw_grammar,RawGrammar,type,7,19,0,0,
glimra/textmate/raw_grammar,new_raw_grammar,fn,0,0,0,2,
glimra/textmate/raw_grammar,RawRule,type,39,38,0,2,
glimra/textmate/raw_grammar,new_raw_rule,fn,6,0,0,2,
glimra/textmate/raw_grammar,include_rule,fn,0,0,0,4,
glimra/textmate/raw_grammar,match_rule,fn,0,4,0,3,
glimra/textmate/raw_grammar,begin_end_rule,fn,0,4,0,3,
glimra/textmate/raw_grammar,begin_while_rule,fn,0,4,0,0,
